Holdings details

Large-Cap ETF (VV)


Equity,as of 08/31/2023

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,B23FN39,Lululemon Athletica Inc.,LULU,0.11%,"Apparel, Accessories & Luxury Goods",US,---,"$48,582,055.50","127,425"
,B665KZ5,General Motors Co.,GM,0.11%,Automobile Manufacturers,US,---,"$48,563,395.71","1,449,221"
,2138158,Sempra,SRE,0.11%,Multi-Utilities,US,---,"$48,525,811.88","691,054"
,2852533,Public Storage,PSA,0.11%,Self-Storage REITs,US,---,"$48,024,894.32","173,764"
,2197137,Cintas Corp.,CTAS,0.11%,Diversified Support Services,US,---,"$47,835,649.60","94,880"
,BTGQCX1,Crown Castle Inc.,CCI,0.11%,Telecom Tower REITs,US,---,"$47,831,467.50","475,935"
,2491839,Kimberly-Clark Corp.,KMB,0.11%,Household Products,US,---,"$47,709,871.56","370,332"
,BN134B7,Snowflake Inc.,SNOW,0.11%,Internet Services & Infrastructure,US,---,"$47,552,214.50","303,170"
,2651086,Nucor Corp.,NUE,0.11%,Steel,US,---,"$47,454,681.90","275,739"
,2047317,Archer-Daniels-Midland Co.,ADM,0.11%,Agricultural Products & Services,US,---,"$47,402,605.90","597,763"
,2665861,PACCAR Inc.,PCAR,0.11%,Construction Machinery & Heavy Transportation Equipment,US,---,"$47,193,891.03","573,507"
,2170473,Constellation Brands Inc.,STZ,0.11%,Distillers & Vintners,US,---,"$47,154,324.88","180,973"
,BZ6VT82,Charter Communications Inc.,CHTR,0.11%,Cable & Satellite,US,---,"$47,065,041.00","107,425"
,2023748,Hess Corp.,HES,0.11%,Oil & Gas Exploration & Production,US,---,"$46,892,758.50","303,513"
,2583576,ON Semiconductor Corp.,ON,0.11%,Semiconductors,US,---,"$46,667,676.96","473,976"
,2459202,IDEXX Laboratories Inc.,IDXX,0.11%,Health Care Equipment,US,---,"$46,588,939.59","91,099"
,2027342,American International Group Inc.,AIG,0.11%,Multi-line Insurance,US,---,"$46,476,642.52","794,201"
,2656423,Old Dominion Freight Line Inc.,ODFL,0.11%,Cargo Ground Transportation,US,---,"$46,287,162.59","108,307"
,2967181,Williams Cos. Inc.,WMB,0.11%,Oil & Gas Storage & Transportation,US,---,"$46,200,691.11","1,337,987"
,BZ07BW4,Monster Beverage Corp.,MNST,0.11%,Soft Drinks & Non-alcoholic Beverages,US,---,"$46,199,204.84","804,724"
,2655408,Occidental Petroleum Corp.,OXY,0.11%,Integrated Oil & Gas,US,---,"$46,083,276.33","733,927"
,B62B7C3,TE Connectivity Ltd.,TEL,0.11%,Electronic Manufacturing Services,US,---,"$45,778,476.15","345,785"
,2746711,Ross Stores Inc.,ROST,0.11%,Apparel Retail,US,---,"$45,723,088.84","375,364"
,B2972D2,MSCI Inc.,MSCI,0.11%,Financial Exchanges & Data,US,---,"$45,405,316.88","83,524"
,BDR73G1,IQVIA Holdings Inc.,IQV,0.11%,Life Sciences Tools & Services,US,---,"$45,335,260.05","203,635"
,BYVYHH4,Welltower Inc.,WELL,0.11%,Health Care REITs,US,---,"$45,202,503.36","545,397"
,BKP7287,Truist Financial Corp.,TFC,0.11%,Regional Banks,US,---,"$44,661,045.00","1,461,900"
,BG1FRR1,KKR & Co. Inc.,KKR,0.11%,Asset Management & Custody Banks,US,---,"$44,613,377.71","710,291"
,2542049,Dominion Energy Inc.,D,0.10%,Multi-Utilities,US,---,"$44,533,459.86","917,459"
,BY7QL61,Johnson Controls International plc,JCI,0.10%,Building Products,US,---,"$44,500,292.56","753,476"
,2026361,Aflac Inc.,AFL,0.10%,Life & Health Insurance,US,---,"$44,490,848.24","596,632"
,2026242,American Electric Power Co. Inc.,AEP,0.10%,Electric Utilities,US,---,"$44,286,513.60","564,879"
,B5B2106,Fortinet Inc.,FTNT,0.10%,Systems Software,US,---,"$44,100,934.92","732,452"
,2670519,Exelon Corp.,EXC,0.10%,Electric Utilities,US,---,"$43,770,197.84","1,090,982"
,B23SN61,VMware Inc.,VMW,0.10%,Systems Software,US,---,"$43,646,339.22","258,599"
,2367026,General Mills Inc.,GIS,0.10%,Packaged Foods & Meats,US,---,"$43,641,850.22","645,017"
,BQ84ZQ6,Kenvue Inc.,KVUE,0.10%,Personal Care Products,US,---,"$43,569,095.29","1,890,199.36"
,2674458,Paychex Inc.,PAYX,0.10%,Human Resource & Employment Services,US,---,"$43,527,203.07","356,109"
,BYVMW06,Hilton Worldwide Holdings Inc.,HLT,0.10%,"Hotels, Resorts & Cruise Lines",US,---,"$43,203,338.70","290,638"
,B0796X4,Dexcom Inc.,DXCM,0.10%,Health Care Equipment,US,---,"$42,958,911.60","425,420"
,2455965,Biogen Inc.,BIIB,0.10%,Biotechnology,US,---,"$42,463,452.00","158,825"
,BHXCF84,Dow Inc.,DOW,0.10%,Commodity Chemicals,US,---,"$42,396,720.96","777,066"
,2208073,Copart Inc.,CPRT,0.10%,Diversified Support Services,US,---,"$42,201,303.29","941,363"
,B03GQS4,Digital Realty Trust Inc.,DLR,0.10%,Data Center REITs,US,---,"$42,115,625.92","319,736"
,2689560,PG&E Corp.,PCG,0.10%,Electric Utilities,US,---,"$42,028,409.00","2,578,430"
,2724193,Realty Income Corp.,O,0.10%,Retail REITs,US,---,"$41,387,669.52","738,538"
,2654364,Cheniere Energy Inc.,LNG,0.10%,Oil & Gas Storage & Transportation,US,---,"$41,341,497.60","253,318"
,2769503,Travelers Cos. Inc.,TRV,0.10%,Property & Casualty Insurance,US,---,"$40,855,682.00","253,400"
,2654461,Capital One Financial Corp.,COF,0.10%,Consumer Finance,US,---,"$40,748,660.25","397,975"
,2089212,AMETEK Inc.,AME,0.09%,Electrical Components & Equipment,US,---,"$40,341,195.57","252,907"
,BGSXTS3,Moderna Inc.,MRNA,0.09%,Biotechnology,US,---,"$40,208,257.35","355,605"
,BDHLTQ5,Baker Hughes Co.,BKR,0.09%,Oil & Gas Equipment & Services,US,---,"$40,205,533.83","1,110,957"
,2250687,DR Horton Inc.,DHI,0.09%,Homebuilding,US,---,"$40,086,769.14","336,807"
,2573209,MetLife Inc.,MET,0.09%,Life & Health Insurance,US,---,"$39,922,695.28","630,292"
,2257019,Cognizant Technology Solutions Corp.,CTSH,0.09%,IT Consulting & Other Services,US,---,"$39,877,675.53","556,873"
,2098876,Yum! Brands Inc.,YUM,0.09%,Restaurants,US,---,"$39,791,595.28","307,556"
,2754060,Rockwell Automation Inc.,ROK,0.09%,Electrical Components & Equipment,US,---,"$39,339,244.40","126,055"
,2520153,Agilent Technologies Inc.,A,0.09%,Life Sciences Tools & Services,US,---,"$39,189,753.65","323,695"
,BD8FDD1,Trade Desk Inc.,TTD,0.09%,Advertising,US,---,"$39,071,446.30","488,210"
,BK531S8,Otis Worldwide Corp.,OTIS,0.09%,Industrial Machinery & Supplies & Components,US,---,"$38,808,645.35","453,637"
,BYVG1F6,Waste Connections Inc.,WCN,0.09%,Environmental & Facilities Services,CA,---,"$38,750,909.26","282,874"
,2868165,Sysco Corp.,SYY,0.09%,Food Distributors,US,---,"$38,746,921.85","556,309"
,2812452,Simon Property Group Inc.,SPG,0.09%,Retail REITs,US,---,"$38,693,961.54","340,946"
,B0J7D57,Ameriprise Financial Inc.,AMP,0.09%,Asset Management & Custody Banks,US,---,"$38,589,782.54","114,313"
,B4P9W92,Verisk Analytics Inc.,VRSK,0.09%,Research & Consulting Services,US,---,"$38,483,671.38","158,879"
,BJJP138,Crowdstrike Holdings Inc.,CRWD,0.09%,Systems Software,US,---,"$38,093,100.71","233,657"
,BN44JF6,Apollo Global Management Inc.,APO,0.09%,Diversified Financial Services,US,---,"$38,040,063.60","435,540"
,2819118,Prudential Financial Inc.,PRU,0.09%,Life & Health Insurance,US,---,"$37,922,908.60","400,580"
,BK73B42,Corteva Inc.,CTVA,0.09%,Fertilizers & Agricultural Chemicals,US,---,"$37,424,323.79","740,929"
,BMH4FS1,Constellation Energy Corp.,CEG,0.09%,Electric Utilities,US,---,"$37,345,318.08","358,538"
,2807061,Centene Corp.,CNC,0.09%,Managed Health Care,US,---,"$37,130,870.25","602,285"
,BK9DTN5,L3Harris Technologies Inc.,LHX,0.09%,Aerospace & Defense,US,---,"$37,031,322.24","207,936"
,B1Z77F6,Bank of New York Mellon Corp.,BK,0.09%,Asset Management & Custody Banks,US,---,"$36,903,286.63","822,449"
,2320524,Estee Lauder Cos. Inc.,EL,0.09%,Personal Care Products,US,---,"$36,763,296.36","229,012"
,2262864,CoStar Group Inc.,CSGP,0.09%,Real Estate Services,US,---,"$36,757,756.80","448,320"
,2698470,PPG Industries Inc.,PPG,0.09%,Specialty Chemicals,US,---,"$36,618,309.12","258,312"
